,Component1,Component2,Target
0,0.0,0.0,normal
1,0.0,0.0,normal
2,0.0,0.0,normal
3,0.0,0.0,normal
4,0.0,0.0,normal
5,0.0,0.0,normal
6,0.0,0.0,normal
7,0.0,0.0,normal
8,0.0,0.0,normal
9,0.0,0.0,normal
10,0.0,0.0,normal
11,0.0,0.0,normal
12,0.0,0.0,normal
13,0.0,0.0,normal
14,0.0,0.0,normal
15,0.0,0.0,normal
16,0.0,0.0,normal
17,0.0,0.0,normal
18,0.0,0.0,normal
19,0.0,0.0,normal
20,0.0,0.0,normal
21,0.0,0.0,normal
22,0.0,0.0,normal
23,0.0,0.0,normal
24,0.0,0.0,normal
25,0.0,0.0,normal
26,0.0,0.0,normal
27,0.0,0.0,normal
28,0.0,0.0,normal
29,0.0,0.0,normal
30,0.0,0.0,normal
31,0.0,0.0,normal
32,0.0,0.0,normal
33,0.0,0.0,normal
34,0.0,0.0,normal
35,0.0,0.0,normal
36,0.0,0.0,normal
37,0.0,0.0,normal
38,0.0,0.0,normal
39,0.0,0.0,normal
40,0.0,0.0,normal
41,0.0,0.0,normal
42,0.0,0.0,normal
43,0.0,0.0,normal
44,0.0,0.0,normal
45,0.0,0.0,normal
46,0.0,0.0,normal
47,0.0,0.0,normal
48,0.0,0.0,normal
49,0.0,0.0,normal
50,0.0,0.0,normal
51,0.0,0.0,normal
52,0.0,0.0,normal
53,0.0,0.0,normal
54,0.0,0.0,normal
55,0.0,0.0,normal
56,0.0,0.0,normal
57,0.0,0.0,normal
58,0.0,0.0,normal
59,0.0,0.0,normal
60,0.0,0.0,normal
61,0.0,0.0,normal
62,0.0,0.0,normal
63,0.0,0.0,normal
64,0.0,0.0,normal
65,0.0,0.0,normal
66,0.0,0.0,normal
67,0.0,0.0,normal
68,0.0,0.0,normal
69,0.0,0.0,normal
70,0.0,0.0,normal
71,0.0,0.0,normal
72,0.0,0.0,normal
73,0.0,0.0,normal
74,0.0,0.0,normal
75,0.0,0.0,normal
