,Component1,Component2,Target
0,15.489319,98.19747,normal
1,99.48428,-0.3119555,normal
2,75.98852,27.568659,normal
3,115.198425,-3.1391256,normal
4,11.589364,23.043892,normal
5,8.564141,81.94226,normal
6,37.822445,73.334854,normal
7,14.637928,37.953754,normal
8,9.110271,86.997826,normal
9,37.875843,67.813126,normal
10,75.00454,15.86568,normal
11,38.352745,32.744015,normal
12,60.503235,-8.593298,normal
13,21.883463,56.942883,normal
14,20.82484,52.009106,normal
15,-30.92497,84.71112,normal
16,-52.134575,95.67828,normal
17,29.847115,96.488754,normal
18,17.52174,46.302372,normal
19,42.146004,12.416537,normal
20,59.754215,-8.530741,normal
21,8.4387455,80.083916,normal
22,54.49246,55.072636,normal
23,89.2189,71.091194,normal
24,41.823162,13.77223,normal
25,-34.019577,81.86043,normal
26,72.652275,-9.355516,normal
27,-32.247635,83.78156,normal
28,86.15153,71.06257,normal
29,94.51224,-4.5018926,normal
30,36.620197,66.783356,normal
31,24.353903,100.201454,normal
32,112.379265,-0.554163,normal
33,-40.51369,72.587326,normal
34,38.021275,73.23399,normal
35,56.66495,88.10029,normal
36,30.1783,50.46669,normal
37,-39.443115,81.371155,normal
38,15.544857,62.911613,normal
39,13.694692,60.035652,normal
40,15.595089,82.190384,normal
41,56.018158,91.80887,normal
42,112.54175,-0.62670004,normal
43,59.894222,-8.030932,normal
44,47.946617,34.15822,normal
45,73.4741,33.65393,normal
46,16.201841,93.21726,normal
47,85.46221,34.934334,normal
48,-14.341397,74.32955,normal
49,23.545074,60.450317,normal
50,61.60452,-2.104337,normal
51,21.77777,88.85696,normal
52,0.3952206,68.38443,normal
53,-36.956696,78.06901,normal
54,93.21524,-2.601676,normal
55,79.04528,1.9421233,normal
56,14.133616,54.333267,normal
57,95.234764,28.117323,normal
58,24.300962,58.315823,normal
59,-0.7292655,67.6351,normal
60,-4.3867154,93.88344,normal
61,-0.015485277,85.29733,normal
62,-32.682632,75.146454,normal
63,102.68727,27.205925,normal
64,0.16649432,40.892033,normal
65,76.404755,71.21778,normal
66,81.74192,53.417454,normal
67,12.1311655,20.380539,normal
68,63.97679,16.780289,normal
69,64.212654,3.298997,normal
70,-27.17352,113.8816,normal
71,20.606974,94.16375,normal
72,56.87007,87.682594,normal
73,20.185993,17.58939,normal
74,26.187706,90.61219,normal
75,14.34626,60.798233,normal
76,71.55709,29.705484,normal
77,74.034706,5.047896,normal
78,8.625705,48.275185,normal
79,39.780357,10.602026,normal
80,-28.10233,102.4539,normal
81,46.78219,29.878817,normal
82,-50.218582,76.41462,normal
83,108.569855,-2.7123575,normal
84,43.664482,14.478555,normal
85,-22.02537,114.46182,normal
86,55.735165,86.9909,normal
87,59.751053,51.24844,normal
88,17.253199,26.003456,normal
89,60.582417,54.061172,normal
90,16.612415,88.34301,normal
91,42.330807,12.646523,normal
92,11.13275,95.012566,normal
93,30.207693,11.694563,normal
94,19.21679,52.09122,normal
95,31.528845,34.56194,normal
96,59.92533,-7.443936,normal
97,68.11614,1.3544536,normal
98,35.712402,62.425713,normal
99,39.256252,32.144405,normal
100,14.580824,18.946041,normal
101,41.170963,47.196903,normal
102,74.9907,26.848557,normal
103,35.140053,33.65988,normal
104,61.58833,-3.173565,normal
105,10.741994,50.95476,normal
106,97.32681,22.512564,normal
107,45.97994,31.796057,normal
108,14.888476,18.169567,normal
109,86.027245,30.367771,normal
110,101.11,33.18454,normal
111,62.800205,50.62837,normal
112,-8.36254,110.590294,normal
113,-43.830143,82.891106,normal
114,6.5743265,85.66792,normal
115,-0.19746824,84.38284,normal
116,33.689568,13.443247,normal
117,-33.83567,81.24747,normal
118,32.230827,34.66394,normal
119,-32.23651,72.73293,normal
120,-1.661542,63.361603,normal
121,-24.457674,113.15064,normal
122,-10.264367,106.92368,normal
123,35.363197,11.540306,normal
124,28.637054,96.62925,normal
125,17.3126,39.929928,normal
126,59.401268,2.8411074,normal
127,29.608269,53.963623,normal
128,-18.076971,75.02593,normal
129,-33.81238,75.2025,normal
130,15.066889,103.7152,normal
131,-11.764695,104.559395,normal
132,97.65792,0.019656124,normal
133,-8.335231,71.380646,normal
134,-15.182887,73.21132,normal
135,11.966489,45.868538,normal
136,-9.116344,70.321625,normal
137,99.09971,33.977238,normal
138,88.55488,70.86707,normal
139,9.708673,23.10804,normal
140,76.40693,65.39061,normal
141,19.287584,91.57023,normal
142,24.494194,59.673416,normal
143,46.113186,62.862595,normal
144,28.389595,23.119259,normal
145,1.8119245,67.04202,normal
146,-43.353333,80.24522,normal
147,-4.325513,64.645004,normal
148,21.282898,51.676945,normal
149,15.505935,60.434353,normal
150,113.0776,1.1076232,normal
151,62.707905,73.77055,normal
152,86.10032,30.201435,normal
153,1.0980062,69.366776,normal
154,2.2274263,88.54448,normal
155,19.576012,25.08082,normal
156,90.26004,68.77596,normal
157,36.42191,49.99914,normal
158,39.961193,72.662415,normal
159,70.7424,8.0028925,normal
160,0.18617065,61.24473,normal
161,75.886505,-8.239408,normal
162,-39.361885,81.21726,normal
163,41.655567,34.577744,normal
164,24.409792,85.02357,normal
165,118.35985,18.306355,normal
166,-37.978016,79.41177,normal
167,84.57737,54.76194,normal
168,19.415808,18.865496,normal
169,-36.517563,83.36814,normal
170,58.705822,29.698772,normal
171,74.83292,30.172762,normal
172,-37.079628,81.122955,normal
173,25.830126,100.247734,normal
174,-37.017223,103.02948,normal
175,41.853386,15.340412,normal
176,61.0001,11.905989,normal
177,44.43896,16.77181,normal
178,-28.200064,102.24603,normal
179,9.766915,99.2768,normal
180,59.366146,11.676754,normal
181,59.225124,32.65017,normal
182,-37.17647,103.04943,normal
183,97.46732,0.036984604,normal
184,0.4650353,38.54696,normal
185,72.00605,29.905748,normal
186,-14.246288,74.259346,normal
187,43.632557,43.13364,normal
188,12.447136,57.39586,normal
189,61.030876,75.93996,normal
190,-1.8021379,93.62449,normal
191,-31.544762,81.370026,normal
192,87.11321,21.53428,normal
193,63.97329,-4.042384,normal
194,22.860378,88.42396,normal
195,57.355766,2.9324958,normal
196,14.828904,61.73099,normal
197,20.739748,56.45017,normal
198,98.108665,23.410295,normal
199,21.531229,51.596798,normal
200,36.9519,32.42716,normal
201,56.935474,27.578283,normal
202,21.26348,55.81051,normal
203,73.54028,70.85813,normal
204,-2.0826688,84.5949,normal
205,-24.593203,113.15646,normal
206,-18.055056,75.047775,normal
207,78.70491,71.18818,normal
208,55.583042,-5.643291,normal
209,41.647995,15.213135,normal
210,-35.914745,72.31806,normal
211,88.914986,72.00474,normal
212,-28.102505,102.45102,normal
213,57.212517,0.8956583,normal
214,69.93548,-8.603796,normal
215,-14.151422,73.10747,normal
216,-25.923006,113.254814,normal
217,74.17758,25.812904,normal
218,38.732117,32.65384,normal
219,60.014915,54.322346,normal
220,63.51742,8.5609865,normal
221,-35.88713,76.41438,normal
222,18.613565,47.120407,normal
223,36.170284,11.443727,normal
224,21.8057,82.4283,normal
225,69.37318,-9.109566,normal
226,31.64361,34.57682,normal
227,118.62307,18.302652,normal
228,-8.591451,109.986626,normal
229,14.504791,60.56228,normal
230,70.89629,29.918772,normal
231,69.63262,0.66256845,normal
232,1.8205711,63.371975,normal
233,11.875832,50.54219,normal
234,19.57298,86.23015,normal
235,-56.57566,100.421646,normal
236,61.142975,2.9487605,normal
237,45.80758,65.045074,normal
238,70.753586,-6.941301,normal
239,55.331486,28.695278,normal
240,3.6963897,65.86876,normal
241,32.955845,97.77912,normal
242,43.947674,72.75828,normal
243,11.133074,95.01271,normal
244,62.903072,-5.3146334,normal
245,23.55428,47.383488,normal
246,20.724323,50.75891,normal
247,22.963118,28.731768,normal
248,15.439562,14.103355,normal
249,22.716059,53.448112,normal
250,7.315521,87.83823,normal
251,15.990198,14.281565,normal
