,Component1,Component2,Target
0,6.6999607,10.43771,normal
1,19.161385,-6.483452,normal
2,18.6447,1.7714444,normal
3,19.548046,-3.5056489,normal
4,12.943364,-1.629514,normal
5,7.11632,12.950447,normal
6,16.293297,0.65973157,normal
7,12.521674,-8.180506,normal
8,6.948643,12.121409,normal
9,15.903642,0.51217484,normal
10,9.811104,8.761046,normal
11,13.607251,-4.828123,normal
12,11.754052,8.727544,normal
13,10.895668,-7.6473565,normal
14,11.323493,-7.6680827,normal
15,2.2582705,7.2476535,normal
16,5.384354,17.344204,normal
17,7.6950703,10.037126,normal
18,11.8800535,-7.8563175,normal
19,13.849107,1.1441231,normal
20,11.713942,8.725256,normal
21,7.16004,12.929837,normal
22,11.594882,-3.577209,normal
23,16.165089,-4.416527,normal
24,13.848432,1.1737211,normal
25,2.0927808,7.4672,normal
26,12.288816,9.298905,normal
27,2.223515,7.363589,normal
28,16.053947,-4.7063556,normal
29,19.06844,-6.733729,normal
30,15.7708025,0.54492915,normal
31,7.0761323,10.139933,normal
32,19.892578,-3.4934983,normal
33,1.3401691,8.012255,normal
34,16.296871,0.64746886,normal
35,16.565334,-7.6083994,normal
36,9.82195,-7.385284,normal
37,1.6418735,7.3578305,normal
38,10.570266,-8.137666,normal
39,10.728143,-8.293654,normal
40,7.9635177,11.751758,normal
41,16.557302,-8.001968,normal
42,19.918184,-3.459636,normal
43,11.734696,8.713718,normal
44,12.763524,-5.558709,normal
45,19.050762,1.3368027,normal
46,7.110725,10.874507,normal
47,20.117094,3.833673,normal
48,2.6434112,12.203635,normal
49,10.608468,-7.659222,normal
50,12.095202,8.192763,normal
51,7.800551,10.826342,normal
52,1.6956644,11.32572,normal
53,1.6365699,7.575801,normal
54,19.213682,-6.80835,normal
55,13.116406,8.823726,normal
56,11.255966,-8.3246355,normal
57,17.16728,5.642372,normal
58,10.717509,-7.544312,normal
59,1.5593418,11.204952,normal
60,7.5891047,13.662347,normal
61,4.228532,9.259024,normal
62,1.833337,7.979662,normal
63,17.30389,5.8884506,normal
64,2.435549,4.823391,normal
65,15.737479,-5.790177,normal
66,17.201546,-5.804779,normal
67,12.793735,-1.4477291,normal
68,12.31265,6.8561845,normal
69,12.428747,8.295212,normal
70,3.3918676,14.727879,normal
71,7.4015026,10.657636,normal
72,16.56103,-7.5965843,normal
73,12.884572,-0.8796581,normal
74,7.8924356,10.422965,normal
75,10.660581,-8.247436,normal
76,18.714735,1.2632096,normal
77,12.977842,8.420322,normal
78,11.668997,-8.440515,normal
79,13.681194,0.9692471,normal
80,7.5720935,16.17149,normal
81,12.7122135,-5.2511935,normal
82,0.88850504,14.307089,normal
83,19.758709,-3.5455241,normal
84,13.904278,1.0186497,normal
85,3.6056538,15.734105,normal
86,16.521942,-7.541694,normal
87,11.067516,-3.3562098,normal
88,13.334126,-1.1727937,normal
89,11.132672,-3.2510645,normal
90,7.6514554,11.203527,normal
91,13.863742,1.1325781,normal
92,7.025752,11.328658,normal
93,12.931828,1.0051843,normal
94,11.347895,-7.841609,normal
95,13.970044,-4.4158864,normal
96,11.726235,8.634472,normal
97,13.665934,8.9287,normal
98,15.458838,0.394286,normal
99,13.437524,-4.914668,normal
100,12.693273,-1.2293682,normal
101,9.410013,-5.07687,normal
102,18.595959,1.7576381,normal
103,13.762383,-4.6688685,normal
104,12.010749,8.261442,normal
105,11.50864,-8.46948,normal
106,17.71682,4.11481,normal
107,12.862543,-5.361188,normal
108,12.723546,-1.1681391,normal
109,19.86656,4.2387056,normal
110,18.412245,6.9225774,normal
111,10.970533,-3.2638946,normal
112,3.5361373,16.271809,normal
113,1.3658286,7.6008296,normal
114,7.2572284,12.263619,normal
115,4.2545977,9.242474,normal
116,13.207457,1.119128,normal
117,2.0423946,7.551096,normal
118,13.949841,-4.4648066,normal
119,1.9626827,7.931053,normal
120,1.2970784,10.977082,normal
121,3.3479025,15.368537,normal
122,2.7447958,16.277098,normal
123,13.295364,0.9967888,normal
